Sub_ID;Island_Group;Sub_Area;Tech_Pot_med;LCOE_med;BPP
21642;Rest;1.142;0.007109699;10.9;12.35
21643;Rest;42.988;0.376656859;9.93;12.35
21644;Rest;1.621;0.011967608;9.5;12.35
21647;Rest;55.211;0.638456882;8.05;12.35
21648;Rest;68.519;0.599384682;9.97;12.35
21652;Rest;1.709;0.011487559;9.96;12.35
21653;Rest;1.003;0.00404998;14.8;12.35
21657;Rest;1.061;0.00294413;21.1;12.35
21659;Rest;0.906;0.002126806;21.92;12.35
21662;Rest;3.122;0.018153893;12.6;12.35
21666;Rest;0.693;0.00122481;22.22;12.35
21668;Rest;1.003;0.004325376;14.05;12.35
21682;Rest;23.208;0.089700118;19.5;12.35
21685;Rest;17.702;0.068208304;19.51;12.35
21686;Rest;7.932;0.031750594;18.45;12.35
21687;Rest;1.495;0.00397424;23.02;12.35
21689;Rest;8.196;0.03177604;18.68;12.35
21692;Rest;0.943;0.003355585;15.27;12.35
21696;Rest;4.682;0.026504173;13.32;12.35
21697;Rest;1.669;0.004302472;22.23;12.35
21705;Rest;17.041;0.097235993;13.82;12.35
21706;Rest;29.267;0.159868975;14.42;12.35
21707;Rest;76.419;0.410742943;14.76;12.35
21709;Rest;9.435;0.049199517;14.73;12.35
21710;Rest;27.678;0.146087831;14.83;12.35
21711;Rest;2.464;0.012292822;14.07;12.35
21712;Rest;38.206;0.20118351;14.96;12.35
21713;Rest;55.17;0.277427686;15.6;12.35
21715;Rest;3.854;0.01669125;16.37;12.35
21719;Rest;12.436;0.048478651;18.97;12.35
21720;Rest;5.272;0.017991343;20.63;12.35
21722;Rest;3.92;0.013230102;20.56;12.35
21723;Rest;3.774;0.011451883;23.18;12.35
21724;Rest;16.958;0.069983433;18.39;12.35
21728;Rest;4.32;0.01550876;19.29;12.35
21730;Rest;3.508;0.012761638;19.57;12.35
21741;Rest;4.626;0.014692196;22.39;12.35
21742;Rest;0.83;0.001976365;20.43;12.35
21744;Rest;15.629;0.050187116;22.73;12.35
21746;Rest;11.183;0.040377018;20.65;12.35
21755;Rest;1.074;0.002873081;21.59;12.35
21757;Rest;5.862;0.019009311;22.04;12.35
21758;Rest;6.426;0.021952254;20.43;12.35
21759;Rest;1.55;0.004312199;21.58;12.35
21764;Rest;3.415;0.013131248;18.54;12.35
21766;Rest;3.14;0.010760634;19.64;12.35
21768;Rest;15.05;0.062403713;18.24;12.35
21775;Rest;2.764;0.010597899;17.6;12.35
21776;Rest;24.076;0.087822331;20.71;12.35
21777;Rest;0.9;0.002379669;19.86;12.35
21778;Rest;8.147;0.025900597;22.32;12.35
21788;Rest;0.693;0.001294685;21.27;12.35
21790;Rest;1.825;0.006141711;18.2;12.35
21801;Rest;1.882;0.005819367;20.67;12.35
21803;Rest;2.273;0.007063668;21.2;12.35
21815;Rest;4.668;0.018083717;18.61;12.35
21820;Rest;1.766;0.004984002;21.3;12.35
21821;Rest;0.677;0.001278287;20.44;12.35
21822;Rest;3.713;0.012941565;19.72;12.35
21823;Rest;3.334;0.011343352;19.57;12.35
21849;Rest;3.318;0.010456459;21.06;12.35
21850;Rest;2.47;0.008161444;20.02;12.35
21916;Rest;11.111;0.046426722;18.05;12.35
21917;Rest;1.504;0.005747703;16.5;12.35
21923;Rest;10.442;0.034261469;22.36;12.35
21930;Rest;1.085;0.002778058;22.76;12.35
21951;Rest;0.782;0.001817045;20.66;12.35
21955;Rest;5.908;0.017852169;23.42;12.35
22851;Rest;2.414;0.010877332;15.13;12.35
