Sub_ID;Island_Group;Sub_Area;Tech_Pot_med;LCOE_med;BPP
16220;Rest;0.652;0;18.2;12.63
16224;Rest;122.091;0.666736493;14.64;12.63
16230;Rest;91.849;0.524794162;14.09;12.63
16232;Rest;122.016;0.631021911;15.38;12.63
16233;Rest;115.693;0.596601553;15.45;12.63
16234;Rest;2.176;0.014258862;11.24;12.63
16235;Rest;0.74;0.003262939;11.69;12.63
16239;Rest;59.346;0.301292014;15.55;12.63
16240;Rest;5.381;0.051121758;8.49;11.22
16243;Sulawesi;9.085;0.110762164;7.59;6.58
16244;Sulawesi;0.452;0;6.85;6.58
16245;Sulawesi;8.729;0.10623088;7.45;6.58
16246;Sulawesi;1.488;0.006469474;14.39;6.58
16247;Sulawesi;0.841;0.004488807;10.24;6.58
16281;Sulawesi;71.567;0.369531025;15.27;6.58
16283;Sulawesi;0.619;0;12.33;6.58
16284;Sulawesi;10.539;0.044206673;17.91;6.58
16286;Sulawesi;5.15;0.026675825;14.3;6.58
16288;Sulawesi;12.403;0.070130658;13.91;6.58
16295;Sulawesi;9.258;0.057433471;12.68;6.58
16297;Sulawesi;66.555;0.469169629;11.76;6.58
16299;Sulawesi;58.653;0.32136773;14.55;6.58
16307;Sulawesi;4.648;0.027355415;13.05;6.58
16308;Sulawesi;166.536;1.351832744;10.6;6.58
16309;Sulawesi;12.748;0.074187104;13.46;6.58
16310;Sulawesi;161.492;1.287626414;10.73;6.58
16311;Sulawesi;29.074;0.167139021;13.89;6.58
16312;Sulawesi;1.413;0.008135604;11.54;6.58
16313;Sulawesi;162.821;1.192092295;11.49;6.58
16314;Sulawesi;52.822;0.324365576;13.26;6.58
16315;Sulawesi;9.994;0.041953535;17.58;6.58
16316;Sulawesi;6.654;0.038249467;13.31;6.58
16317;Sulawesi;18.547;0.081004488;17.52;6.58
16318;Sulawesi;15.729;0.094101746;13.4;6.58
16319;Sulawesi;76.767;0.720763084;9.44;6.58
16321;Sulawesi;105.094;0.636585118;13.37;6.58
16322;Sulawesi;0.768;0.002945241;13.64;6.58
16323;Sulawesi;0.62;0;15.54;6.58
16325;Sulawesi;10.374;0.062150662;13.34;6.58
16328;Sulawesi;26.175;0.153914583;13.64;6.58
16329;Sulawesi;50.28;0.313679471;13;6.58
16330;Sulawesi;15.312;0.090531488;13.34;6.58
16331;Sulawesi;60.377;0.566689411;9.42;6.58
16332;Sulawesi;143.16;1.184005188;10.39;6.58
16333;Sulawesi;31.476;0.206236345;12.52;6.58
16336;Sulawesi;3.262;0.013292346;17.07;6.58
16337;Sulawesi;170.706;1.664061247;9.16;6.58
16338;Sulawesi;147.701;1.566551552;8.59;6.58
16339;Sulawesi;2.227;0.009679359;16;6.58
16341;Sulawesi;0.397;0;9.2;6.58
16342;Sulawesi;1.875;0.016288154;8.53;6.58
16343;Sulawesi;160.113;1.450305377;9.71;6.58
16344;Sulawesi;4.262;0.041186425;8.55;6.58
16345;Sulawesi;132.208;1.246441525;9.41;6.58
16347;Sulawesi;158.812;1.478968867;9.51;6.58
16349;Sulawesi;101.822;0.671959375;12.58;6.58
16350;Sulawesi;163.302;1.173803844;11.66;6.58
16354;Sulawesi;104.009;1.027256769;9.06;6.58
16356;Sulawesi;31.229;0.312361674;8.85;6.58
16357;Sulawesi;23.445;0.250601625;8.45;6.58
16358;Sulawesi;62.584;0.75081617;7.83;6.58
16359;Sulawesi;5.396;0.049307589;9.15;6.58
16360;Sulawesi;34.515;0.357249348;8.69;6.58
16361;Sulawesi;6.152;0.055704503;9.27;6.58
16362;Sulawesi;84.947;0.55602065;12.63;6.58
16365;Sulawesi;11.878;0.110538647;9.12;6.58
16366;Sulawesi;64.545;0.59547111;9.53;6.58
16367;Sulawesi;56.349;0.396830754;11.77;6.58
16368;Sulawesi;93.552;0.600826283;12.81;6.58
16369;Sulawesi;1.5;0.004697724;19.44;6.58
16370;Sulawesi;133.132;1.344669152;8.93;6.58
16371;Sulawesi;106.716;0.937276044;9.92;6.58
16375;Sulawesi;132.116;1.538518566;8.01;6.58
16376;Sulawesi;110.522;1.096872759;9.03;6.58
16377;Sulawesi;44.638;0.434706195;9.13;6.58
16379;Sulawesi;56.65;0.69827972;7.67;6.58
16380;Sulawesi;156.675;1.503051681;9.29;6.58
16389;Sulawesi;9.851;0.044421686;16.54;6.58
16392;Sulawesi;40.318;0.189282202;16.59;6.58
16393;Sulawesi;105.228;0.740733723;11.84;6.58
16394;Sulawesi;68.735;0.412806865;13.47;6.58
16395;Sulawesi;43.327;0.247226894;13.99;6.58
16396;Sulawesi;41.012;0.332595019;10.51;6.58
16397;Sulawesi;24.585;0.144154617;13.55;6.58
16399;Sulawesi;16.225;0.091228083;14.07;6.58
16400;Sulawesi;85.5;0.624399957;11.53;6.58
16406;Sulawesi;0.878;0.004584675;11.49;6.58
16407;Sulawesi;3.796;0.022085423;12.86;6.58
16414;Sulawesi;6.609;0.034133384;14.54;6.58
16417;Sulawesi;89.389;0.437638704;16.14;6.58
16418;Sulawesi;128.561;0.551353787;18.08;6.58
16419;Sulawesi;44.152;0.221078972;15.67;6.58
16420;Sulawesi;161.096;0.927459086;14.04;6.58
16421;Sulawesi;51.84;0.324366986;13.1;6.58
16423;Sulawesi;161.799;0.848706295;15.18;6.58
16424;Sulawesi;153.039;0.854168071;14.42;6.58
16434;Sulawesi;0.384;0;13.18;6.58
